src,dst,kappa,delta,w_raw,w_aug
180,14897,2,0.001338928208,-0.415037499279,-0.413698571071
181,271,1,0.001331513746,0.584962500721,0.586294014467
181,9977,2,0.001331513746,-0.415037499279,-0.413705985533
182,10114,1,0.001324180947,0.584962500721,0.586286681669
182,5057,2,0.001324180947,-0.415037499279,-0.413713318331
183,274,1,0.001316928472,0.584962500721,0.586279429193
183,137,2,0.001316928472,-0.415037499279,-0.413720570807
184,10117,1,0.001309755007,0.584962500721,0.586272255728
184,14900,2,0.001309755007,-0.415037499279,-0.413727744272
185,277,1,0.001302659268,0.584962500721,0.586265159989
185,9980,2,0.001302659268,-0.415037499279,-0.413734840011
186,10120,1,0.001295639998,0.584962500721,0.586258140719
186,5060,2,0.001295639998,-0.415037499279,-0.413741859281
187,280,1,0.001288695969,0.584962500721,0.586251196690
187,140,2,0.001288695969,-0.415037499279,-0.413748803310
188,10123,1,0.001281825976,0.584962500721,0.586244326697
188,14903,2,0.001281825976,-0.415037499279,-0.413755673303
189,283,1,0.001275028842,0.584962500721,0.586237529563
189,9983,2,0.001275028842,-0.415037499279,-0.413762470437
190,10126,1,0.001268303414,0.584962500721,0.586230804135
190,5063,2,0.001268303414,-0.415037499279,-0.413769195865
191,286,1,0.001261648564,0.584962500721,0.586224149285
191,143,2,0.001261648564,-0.415037499279,-0.413775850715
192,10129,1,0.001255063186,0.584962500721,0.586217563907
192,14906,2,0.001255063186,-0.415037499279,-0.413782436093
193,289,1,0.001248546197,0.584962500721,0.586211046918
193,9986,2,0.001248546197,-0.415037499279,-0.413788953082
194,10132,1,0.001242096539,0.584962500721,0.586204597260
194,5066,2,0.001242096539,-0.415037499279,-0.413795402740
195,292,1,0.001235713173,0.584962500721,0.586198213894
195,146,2,0.001235713173,-0.415037499279,-0.413801786106
196,10135,1,0.001229395082,0.584962500721,0.586191895803
196,14909,2,0.001229395082,-0.415037499279,-0.413808104197
197,295,1,0.001223141269,0.584962500721,0.586185641991
197,9989,2,0.001223141269,-0.415037499279,-0.413814358009
198,10138,1,0.001216950760,0.584962500721,0.586179451482
198,5069,2,0.001216950760,-0.415037499279,-0.413820548518
199,298,1,0.001210822598,0.584962500721,0.586173323319
199,149,2,0.001210822598,-0.415037499279,-0.413826676681
200,10141,1,0.001204755845,0.584962500721,0.586167256566
200,14912,2,0.001204755845,-0.415037499279,-0.413832743434
201,301,1,0.001198749584,0.584962500721,0.586161250305
201,9992,2,0.001198749584,-0.415037499279,-0.413838749695
202,10144,1,0.001192802913,0.584962500721,0.586155303634
202,5072,2,0.001192802913,-0.415037499279,-0.413844696366
203,304,1,0.001186914950,0.584962500721,0.586149415672
203,152,2,0.001186914950,-0.415037499279,-0.413850584328
204,10147,1,0.001181084831,0.584962500721,0.586143585552
204,14915,2,0.001181084831,-0.415037499279,-0.413856414448
205,307,1,0.001175311707,0.584962500721,0.586137812428
205,9995,2,0.001175311707,-0.415037499279,-0.413862187572
206,10150,1,0.001169594747,0.584962500721,0.586132095468
206,5075,2,0.001169594747,-0.415037499279,-0.413867904532
207,310,1,0.001163933134,0.584962500721,0.586126433855
207,155,2,0.001163933134,-0.415037499279,-0.413873566145
208,10153,1,0.001158326069,0.584962500721,0.586120826790
208,14918,2,0.001158326069,-0.415037499279,-0.413879173210
209,313,1,0.001152772767,0.584962500721,0.586115273488
209,9998,2,0.001152772767,-0.415037499279,-0.413884726512
210,10156,1,0.001147272459,0.584962500721,0.586109773180
210,5078,2,0.001147272459,-0.415037499279,-0.413890226820
211,316,1,0.001141824390,0.584962500721,0.586104325111
211,158,2,0.001141824390,-0.415037499279,-0.413895674889
212,10159,1,0.001136427818,0.584962500721,0.586098928540
212,14921,2,0.001136427818,-0.415037499279,-0.413901071460
213,319,1,0.001131082019,0.584962500721,0.586093582740
213,10001,2,0.001131082019,-0.415037499279,-0.413906417260
214,10162,1,0.001125786277,0.584962500721,0.586088286998
214,5081,2,0.001125786277,-0.415037499279,-0.413911713002
215,322,1,0.001120539894,0.584962500721,0.586083040615
215,161,2,0.001120539894,-0.415037499279,-0.413916959385
216,10165,1,0.001115342182,0.584962500721,0.586077842903
216,14924,2,0.001115342182,-0.415037499279,-0.413922157097
217,325,1,0.001110192468,0.584962500721,0.586072693189
217,10004,2,0.001110192468,-0.415037499279,-0.413927306811
218,10168,1,0.001105090089,0.584962500721,0.586067590810
218,5084,2,0.001105090089,-0.415037499279,-0.413932409190
219,328,1,0.001100034396,0.584962500721,0.586062535117
219,164,2,0.001100034396,-0.415037499279,-0.413937464883
220,10171,1,0.001095024752,0.584962500721,0.586057525473
220,14927,2,0.001095024752,-0.415037499279,-0.413942474527
221,331,1,0.001090060529,0.584962500721,0.586052561250
221,10007,2,0.001090060529,-0.415037499279,-0.413947438750
222,10174,1,0.001085141112,0.584962500721,0.586047641834
222,5087,2,0.001085141112,-0.415037499279,-0.413952358166
223,334,1,0.001080265899,0.584962500721,0.586042766620
223,167,2,0.001080265899,-0.415037499279,-0.413957233380
224,10177,1,0.001075434296,0.584962500721,0.586037935017
224,14930,2,0.001075434296,-0.415037499279,-0.413962064983
225,337,1,0.001070645720,0.584962500721,0.586033146441
225,10010,2,0.001070645720,-0.415037499279,-0.413966853559
226,10180,1,0.001065899598,0.584962500721,0.586028400320
226,5090,2,0.001065899598,-0.415037499279,-0.413971599680
227,340,1,0.001061195370,0.584962500721,0.586023696091
227,170,2,0.001061195370,-0.415037499279,-0.413976303909
228,10183,1,0.001056532483,0.584962500721,0.586019033204
228,14933,2,0.001056532483,-0.415037499279,-0.413980966796
229,343,1,0.001051910394,0.584962500721,0.586014411115
229,10013,2,0.001051910394,-0.415037499279,-0.413985588885
230,10186,1,0.001047328569,0.584962500721,0.586009829290
230,5093,2,0.001047328569,-0.415037499279,-0.413990170710
231,346,1,0.001042786486,0.584962500721,0.586005287207
231,173,2,0.001042786486,-0.415037499279,-0.413994712793
232,10189,1,0.001038283629,0.584962500721,0.586000784351
232,14936,2,0.001038283629,-0.415037499279,-0.413999215649
233,349,1,0.001033819493,0.584962500721,0.585996320214
233,10016,2,0.001033819493,-0.415037499279,-0.414003679786
234,10192,1,0.001029393580,0.584962500721,0.585991894301
234,5096,2,0.001029393580,-0.415037499279,-0.414008105699
235,352,1,0.001025005401,0.584962500721,0.585987506122
235,176,2,0.001025005401,-0.415037499279,-0.414012493878
236,10195,1,0.001020654475,0.584962500721,0.585983155197
236,14939,2,0.001020654475,-0.415037499279,-0.414016844803
237,355,1,0.001016340331,0.584962500721,0.585978841053
237,10019,2,0.001016340331,-0.415037499279,-0.414021158947
238,10198,1,0.001012062504,0.584962500721,0.585974563226
238,5099,2,0.001012062504,-0.415037499279,-0.414025436774
239,358,1,0.001007820538,0.584962500721,0.585970321259
239,179,2,0.001007820538,-0.415037499279,-0.414029678741
